problem_file,hfer_L11,threshold,discrepancy_type
algebra_2rootspoly_apatapbeq2asqp2ab_7.lean,0.04199175536632538,0.05,Spectral_Valid_But_Compiler_Invalid
algebra_binomnegdiscrineq_10alt28asqp1_8.lean,0.04260733723640442,0.05,Spectral_Valid_But_Compiler_Invalid
algebra_sqineq_2unitcircatblt1_9.lean,0.03735800459980965,0.05,Spectral_Valid_But_Compiler_Invalid
amc12a_2009_p2_7.lean,0.04756859689950943,0.05,Spectral_Valid_But_Compiler_Invalid
amc12a_2010_p22_7.lean,0.0454847514629364,0.05,Spectral_Valid_But_Compiler_Invalid
induction_divisibility_3divnto3m2n_0.lean,0.04227539524435997,0.05,Spectral_Valid_But_Compiler_Invalid
induction_divisibility_3divnto3m2n_7.lean,0.044161148369312286,0.05,Spectral_Valid_But_Compiler_Invalid
induction_sum2kp1npqsqm1_2.lean,0.04155363515019417,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_algebra_123_0.lean,0.046709224581718445,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_algebra_15_1.lean,0.0483793243765831,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_algebra_15_5.lean,0.04827912524342537,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_algebra_190_5.lean,0.04351939260959625,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_algebra_224_4.lean,0.04562404379248619,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_algebra_31_9.lean,0.0444096140563488,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_algebra_455_8.lean,0.047651614993810654,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_algebra_462_4.lean,0.04580967128276825,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_algebra_462_9.lean,0.04530602693557739,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_algebra_55_1.lean,0.04331102594733238,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_algebra_568_4.lean,0.042292430996894836,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_numbertheory_102_0.lean,0.04123504459857941,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_numbertheory_132_9.lean,0.04140784218907356,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_numbertheory_156_9.lean,0.047054972499608994,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_numbertheory_200_3.lean,0.04276936128735542,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_numbertheory_221_7.lean,0.04128355532884598,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_numbertheory_269_0.lean,0.041545622050762177,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_numbertheory_301_0.lean,0.03853974863886833,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_numbertheory_30_9.lean,0.03834882006049156,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_numbertheory_335_7.lean,0.044459518045186996,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_numbertheory_403_3.lean,0.04814808443188667,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_numbertheory_92_9.lean,0.03945944458246231,0.05,Spectral_Valid_But_Compiler_Invalid
mathd_numbertheory_961_9.lean,0.04216252639889717,0.05,Spectral_Valid_But_Compiler_Invalid
numbertheory_2dvd4expn_0.lean,0.046482428908348083,0.05,Spectral_Valid_But_Compiler_Invalid
